ID,Year,Fall,Name,NameType,Mass,Latitude,Longitude
5511,1878-01-01T00:00:00.000,Fell,Dandapur,Valid,5650,26.91667,83.96667
5513,1868-01-01T00:00:00.000,Fell,Daniel's Kuil,Valid,1064,-28.2,24.56667
5514,1868-01-01T00:00:00.000,Fell,Danville,Valid,2000,34.4,-87.06667
6603,1804-01-01T00:00:00.000,Fell,Darmstadt,Valid,100,49.86667,8.65
6604,1998-01-01T00:00:00.000,Fell,Dashoguz,Valid,7000,41.98444,59.685
51559,2008-01-01T00:00:00.000,Fell,Daule,Valid,6580,-1.87089,-79.95756
6621,1887-01-01T00:00:00.000,Fell,De Cewsville,Valid,340,43.0,-80.0
6634,1829-01-01T00:00:00.000,Fell,Deal,Valid,28,40.25,-74.0
6642,1897-01-01T00:00:00.000,Fell,Delhi,Valid,0.8,28.56667,77.25
6649,1911-01-01T00:00:00.000,Fell,Demina,Valid,16400,51.46667,84.76667
6660,1967-01-01T00:00:00.000,Fell,Denver,Valid,230,39.7825,-104.93056
6664,2001-01-01T00:00:00.000,Fell,Dergaon,Valid,12500,26.68333,93.86667
6693,1962-01-01T00:00:00.000,Fell,Desuri,Valid,25400,25.73333,73.61667
6694,2001-01-01T00:00:00.000,Fell,Devgaon,Valid,12000,19.0,81.0
6696,1994-01-01T00:00:00.000,Fell,Devri-Khera,Valid,1140,24.225,76.525
6698,1976-01-01T00:00:00.000,Fell,Dhajala,Valid,45000,22.37778,71.42722
6699,1848-01-01T00:00:00.000,Fell,Dharwar,Valid,1800,14.88333,75.6
7640,1860-01-01T00:00:00.000,Fell,Dhurmsala,Valid,32000,32.23333,76.46667
47350,2007-01-01T00:00:00.000,Fell,Didim,Valid,3396,37.35172,27.32997
7642,1906-01-01T00:00:00.000,Fell,Diep River,Valid,1000,-33.75,18.56667
7649,1957-01-01T00:00:00.000,Fell,Distrito Quebracho,Valid,400,-31.88333,-60.46667
7652,1884-01-01T00:00:00.000,Fell,Djati-Pengilon,Valid,166000,-7.5,111.5
7656,1961-01-01T00:00:00.000,Fell,Djermaia,Valid,3950,12.73333,15.05
7657,1999-01-01T00:00:00.000,Fell,Djoumine,Valid,10000,36.95,9.55
7658,1903-01-01T00:00:00.000,Fell,Dokachi,Valid,3840,23.5,90.33333
7659,1864-01-01T00:00:00.000,Fell,Dolgovoli,Valid,1600,50.75,25.3
7661,1907-01-01T00:00:00.000,Fell,Domanitch,Valid,438,40.0,29.0
7706,1995-01-01T00:00:00.000,Fell,Dong Ujimqin Qi,Valid,128800,45.5,119.03333
7707,1899-01-01T00:00:00.000,Fell,Donga Kohrod,Valid,230,21.86667,82.45
7708,1970-01-01T00:00:00.000,Fell,Dongtai,Valid,5500,32.91667,120.78333
7718,1805-01-01T00:00:00.000,Fell,Doroninsk,Valid,3891,51.2,112.3
7722,1962-01-01T00:00:00.000,Fell,Dosso,Valid,1250,13.05,3.16667
7723,1932-01-01T00:00:00.000,Fell,Douar Mghila,Valid,1161,32.33333,-6.3
7725,1976-01-01T00:00:00.000,Fell,Dowa,Valid,642,-13.66667,33.91667
7728,1827-01-01T00:00:00.000,Fell,Drake Creek,Valid,5000,36.4,-86.5
7731,1939-01-01T00:00:00.000,Fell,Dresden (Ontario),Valid,47700,42.52,-82.26
7736,1951-01-01T00:00:00.000,Fell,Dubrovnik,Valid,1900,42.45833,18.44167
7743,1999-01-01T00:00:00.000,Fell,Dunbogan,Valid,30,-31.66667,152.83333
7745,1865-01-01T00:00:00.000,Fell,Dundrum,Valid,2270,52.55,-8.03333
7749,1976-01-01T00:00:00.000,Fell,Dunhua,Valid,,43.33333,128.25
7750,1815-01-01T00:00:00.000,Fell,Durala,Valid,13200,30.3,76.63333
7752,1853-01-01T00:00:00.000,Fell,Duruma,Valid,577,-4.0,39.5
7754,1943-01-01T00:00:00.000,Fell,Duwun,Valid,2117,33.43333,127.26667
7755,1970-01-01T00:00:00.000,Fell,Dwaleni,Valid,3230,-27.2,31.31667
7757,1872-01-01T00:00:00.000,Fell,Dyalpur,Valid,300,26.25,82.0
7758,1933-01-01T00:00:00.000,Fell,Dyarrl Island,Valid,188,-3.0,151.0
